Real_AT_NoiBai,Real_AT_LangSon,Real_AT_LaoCai,Real_AT_Vinh,Real_AT_PhuBai,Real_AT_QuyNhon,Real_AT_TPHCM,Real_AT_CaMau,Predicted_AT_NoiBai,Predicted_AT_LangSon,Predicted_AT_LaoCai,Predicted_AT_Vinh,Predicted_AT_PhuBai,Predicted_AT_QuyNhon,Predicted_AT_TPHCM,Predicted_AT_CaMau
33.57623,33.85607,35.19259,34.49985,35.51833,32.79781,30.5621,28.33246,33.83479,33.268776,34.930775,34.210953,35.40327,32.867096,30.616621,28.457735
35.5627,33.06546,35.70183,34.691,36.48938,33.28716,30.54833,29.61548,35.013844,32.93647,35.215477,34.598194,36.09155,33.387794,30.627129,29.567755
35.5627,34.23225,35.79970000000001,35.20483,37.48644,34.88368,31.54233,30.195049999999995,35.264347,33.804287,35.105225,34.919666,36.83551,34.661877,31.401663,29.967186
31.60353,29.56657,35.12532,35.80888,37.53081,35.61926,31.5561,29.210230000000003,35.285282,33.934475,35.036293,35.01008,36.91433,34.86221,31.46701,29.94914
29.61247,27.56939,32.06687,36.11626,35.53669,35.35166,31.5561,30.50396,29.486652,27.426664,31.669855,35.63015,35.305325,35.26689,31.60745,30.447828
27.5954,26.771129999999996,30.44587,34.35154000000001,35.52598,33.75667,32.54857,28.94875,27.984652,26.93458,30.313652,34.071026,35.066895,33.785076,32.343025,29.00167
30.5927,28.857,28.96252,33.1618,33.9417,34.35307,29.5681,27.67491,30.464453,28.692825,29.325178,33.23965,33.93024,34.23984,29.640648,27.884933
29.5987,29.147549999999995,32.32223,34.814879999999995,33.51809,32.95688,28.57257,27.62289,29.871489,29.102703,32.11602,34.440983,33.53881,33.015907,28.852457,27.858746
32.5654,29.53597,32.23966,34.01509,34.51056,33.5594,31.54233,29.70111,32.123726,29.46541,31.975607,33.941463,34.378193,33.529507,31.693254,29.682068
32.5807,29.242359999999998,27.0678,33.89886,34.51056,33.05169,30.54833,28.71476,32.231903,29.117807,27.748991,33.75109,34.43254,33.08566,30.787998,28.84967
29.5834,24.57209,26.75736,32.83759,32.82229,32.87125,28.5588,28.11989,29.832224,25.317205,27.279522,32.685013,33.046814,32.99482,29.003443,28.313066
31.5867,28.53891,28.75301,34.09613,33.51503,30.860300000000002,32.5348,29.699580000000005,29.499325,25.548458,27.204727,32.45994,32.868465,32.981342,28.637068,28.253696
32.5654,30.5162,26.57233,34.62985,33.50432,29.763839999999995,31.5408,30.50855,32.305336,30.19457,27.213942,34.297543,33.3201,29.617502,31.493189,30.49217
32.56693,31.51938,32.0072,34.9357,34.79958,30.85112,31.5408,30.195049999999995,32.4789,31.125978,31.764303,34.60071,34.414635,30.635416,31.489632,30.08906
31.5714,28.53738,31.53009,34.06558,34.11755,30.0651,32.52103,28.4288,31.497814,28.758926,31.75781,33.724457,33.77158,29.971067,32.33424,28.61145
31.5714,30.11554,33.00579,32.0531,32.53786,30.08193,30.54833,29.1934,31.59442,30.021353,32.78165,32.17357,32.566822,30.093338,30.764383,29.285236
33.56093,31.52244,34.22001,33.44164,33.91263,30.55904,31.5408,29.99166,33.090706,31.126022,33.493793,33.448822,33.75944,30.716566,31.538118,29.88712
32.58223,30.92757,32.73819,35.72325,33.51044,32.54704,31.5561,29.14755,32.486362,30.660698,32.631058,35.144848,33.51761,32.43086,31.455742,29.053478
27.6107,27.34764,31.55304,36.13462,34.50903,31.17992,29.55433,27.23753,28.443316,27.946787,31.508959,35.526325,34.202175,31.356966,29.635588,27.46937
31.5867,30.32046,30.23942,33.83159,33.70159,29.569629999999997,28.5588,29.02979,27.907148,27.427887,31.281162,35.515224,34.308655,31.340372,29.518158,27.332993
31.5867,29.21023,30.73948,31.75031,32.5348,29.272960000000005,28.5588,23.9558,31.151646,29.08169,30.576754,31.681023,32.42295,29.169453,28.571743,24.561258
29.5834,27.55256,29.65526,31.25637,32.71983,29.06192,28.54503,26.52643,29.407526,27.553877,29.749557,30.928402,32.50615,29.1046,28.708054,26.90082
28.5741,27.1213,31.50255,29.64761,31.53468,28.16885,30.5468,29.27903,28.546753,27.110304,31.27419,29.308817,31.409086,28.509478,30.470572,29.041971
